employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-77193697,Christopher,Peters,Female,Texas,Dallas,2021-02-24,Sales,Sales Consultant,PhD,78858,Good,No,1996-10-09,2021-08-23
00-53552989,Nicholas,Clark,Female,Ohio,Cleveland,2017-12-20,Sales,Sales Representative,Bachelor,54144,Good,Yes,1978-01-29,2018-06-18
00-34449070,Patricia,Rodriguez,Female,Georgia,Athens,2018-08-30,Operations,Logistics Coordinator,Bachelor,62242,Good,No,1969-08-15,2019-02-26
00-98778343,Brianna,Hicks,Female,North Carolina,Charlotte,2018-04-29,Customer Service,Help Desk Technician,Bachelor,81888,Good,Yes,1970-09-23,2021-09-29
00-43265411,Douglas,Gallegos,Male,California,San Francisco,2015-01-07,Customer Service,Help Desk Technician,High School,60286,Good,No,1987-05-11,2018-02-28
00-33106860,Hannah,Hughes,Female,North Carolina,Raleigh,2017-01-27,Operations,Inventory Specialist,Bachelor,61207,Good,No,1987-03-14,2022-03-12
00-46685044,Peter,Webster,Male,Ohio,Cincinnati,2023-10-16,Operations,Operations Analyst,Master,64550,Satisfactory,Yes,1965-12-23,2024-04-13
00-36936360,Danielle,Stanley,Male,Texas,Houston,2018-03-01,Sales,Sales Representative,Bachelor,78262,Satisfactory,No,1969-06-26,2018-08-28
00-63678607,Jeffrey,Smith,Female,North Carolina,Greensboro,2024-03-20,HR,Recruiter,Bachelor,56134,Excellent,No,1987-11-16,2024-09-16
00-76816360,Nicole,Nelson,Male,New York,New York City,2019-05-08,Operations,Operations Analyst,Master,58927,Good,No,1981-06-29,2019-11-04
00-44104613,Kristina,Campbell,Male,North Carolina,Raleigh,2019-01-01,IT,IT Support Specialist,High School,62339,Satisfactory,No,1981-03-17,2021-10-14
00-90409356,Rebecca,Gomez,Female,North Carolina,Raleigh,2016-07-25,Operations,Inventory Specialist,High School,59915,Good,No,1981-01-15,2018-05-09
00-27742717,Brandon,Jones,Male,North Carolina,Greensboro,2017-03-04,Operations,Logistics Coordinator,Bachelor,66138,Satisfactory,No,1977-12-07,2020-07-01
00-70514465,Erica,Martinez,Male,Georgia,Atlanta,2022-02-19,Customer Service,Support Specialist,High School,56654,Good,No,1994-06-18,2022-08-18
00-10507826,Brianna,Evans,Male,North Carolina,Charlotte,2022-09-16,Operations,Operations Analyst,Master,67874,Satisfactory,No,1972-07-17,2024-05-25
00-99742771,Catherine,Andrews,Female,North Carolina,Charlotte,2023-04-03,Customer Service,Customer Service Representative,Bachelor,63220,Satisfactory,No,1984-01-28,2024-06-30
00-82549556,John,White,Female,North Carolina,Charlotte,2023-08-20,Marketing,Marketing Coordinator,Bachelor,63269,Excellent,No,1997-02-07,2024-02-16
00-82799087,Leah,Proctor,Female,North Carolina,Greensboro,2018-10-30,Customer Service,Help Desk Technician,Bachelor,57170,Good,Yes,1985-01-22,2019-04-28
00-29522001,Eric,Williams,Male,North Carolina,Charlotte,2021-03-14,HR,Recruiter,Bachelor,64109,Good,No,1964-08-27,2021-09-10
00-98153432,Sharon,Klein,Male,North Carolina,Charlotte,2018-09-15,Operations,Inventory Specialist,Bachelor,72671,Good,No,1977-12-14,2019-03-14
00-80886926,Patricia,Powell,Male,North Carolina,Greensboro,2015-05-07,Operations,Logistics Coordinator,Bachelor,69758,Satisfactory,No,2000-05-06,2020-03-20
00-76376458,Matthew,Henson,Male,Florida,Miami,2022-05-09,Operations,Logistics Coordinator,Bachelor,72483,Good,No,1973-08-26,2022-11-05
00-47776478,Ian,Ramirez,Female,Georgia,Athens,2023-03-12,Sales,Sales Specialist,PhD,72321,Satisfactory,Yes,1987-10-10,2023-09-08
00-51534410,Doris,Sawyer,Male,North Carolina,Greensboro,2020-10-30,Operations,Operations Analyst,Bachelor,70408,Good,No,1989-05-28,2021-04-28
00-10673740,Kristin,Price,Female,Texas,San Antonio,2024-01-02,Sales,Sales Consultant,Bachelor,78087,Good,Yes,2002-01-22,2024-06-30
00-74806758,David,Cunningham,Male,North Carolina,Charlotte,2024-03-07,Operations,Inventory Specialist,Bachelor,61267,Good,Yes,1990-06-21,2024-09-03
00-33130977,Gabriel,Snyder,Male,North Carolina,Charlotte,2017-04-17,Sales,Sales Representative,Bachelor,72686,Good,No,1978-09-03,2020-07-15
00-68778748,Laura,Carroll,Female,North Carolina,Charlotte,2024-10-19,Finance,Financial Analyst,Bachelor,96911,Good,No,1972-12-07,2025-04-17
00-14804332,James,Leach,Male,New York,New York City,2023-01-11,Operations,Inventory Specialist,High School,57499,Satisfactory,No,1988-02-27,2023-07-10
00-59147383,Jason,Ross,Male,North Carolina,Raleigh,2020-10-09,Operations,Logistics Coordinator,Bachelor,63310,Good,No,1994-09-05,2021-04-07
00-30955844,Douglas,Clements,Male,Georgia,Athens,2018-11-08,Operations,Inventory Specialist,High School,62512,Satisfactory,No,1993-11-02,2021-02-01
00-47292296,Tyler,Freeman,Male,Texas,San Antonio,2017-04-04,Marketing,SEO Specialist,High School,71549,Satisfactory,No,2002-01-25,2020-05-26
00-97231306,Jennifer,Olson,Male,North Carolina,Greensboro,2017-06-17,Operations,Inventory Specialist,Bachelor,59713,Needs Improvement,Yes,1984-12-01,2024-03-05
00-28311704,Barbara,Rodriguez,Female,North Carolina,Raleigh,2019-06-03,IT,Software Developer,Bachelor,96035,Good,No,1972-12-16,2019-11-30
00-77674148,Doris,Anderson,Female,North Carolina,Greensboro,2022-08-27,Sales,Sales Representative,Bachelor,60707,Good,No,1979-04-15,2023-03-02
00-82847071,Susan,Anderson,Male,North Carolina,Raleigh,2023-10-05,Operations,Inventory Specialist,High School,65384,Excellent,No,1980-08-14,2024-04-02
00-30853122,Yolanda,King,Female,North Carolina,Raleigh,2018-12-20,Operations,Operations Analyst,Bachelor,74258,Needs Improvement,No,2001-08-10,2019-06-18
00-38004804,Adam,Robinson,Male,North Carolina,Greensboro,2023-07-25,Customer Service,Customer Service Representative,High School,62791,Good,No,1991-06-18,2024-01-21
00-88684059,Elizabeth,Nguyen,Female,Texas,San Antonio,2023-06-08,Operations,Operations Analyst,Master,87320,Satisfactory,No,2001-03-16,2023-12-05
00-86353376,Ashley,Mccormick,Female,Georgia,Athens,2023-05-16,Finance,Accounts Payable Specialist,Bachelor,54291,Needs Improvement,No,1996-08-12,2023-11-12
00-74725246,Jonathan,Richardson,Female,Louisiana,Shreveport,2022-02-20,Operations,Operations Analyst,Master,71325,Good,No,1960-03-14,2022-08-19
00-67299390,Bonnie,Sutton,Female,North Carolina,Charlotte,2020-08-01,Operations,Operations Analyst,Master,63629,Satisfactory,No,1995-09-19,2021-01-28
00-74010119,Christopher,Gray,Male,North Carolina,Greensboro,2020-12-28,Sales,Sales Representative,Bachelor,64233,Satisfactory,No,1971-03-21,2021-06-26
00-43445308,Kathy,Roberts,Male,North Carolina,Raleigh,2017-01-13,Sales,Sales Representative,Bachelor,71935,Excellent,No,1988-08-08,2021-04-11
00-76282383,Scott,Gay,Female,Texas,San Antonio,2019-07-12,IT,Software Developer,Bachelor,94114,Good,No,1991-07-13,2021-06-01
00-44945281,Jennifer,Lewis,Female,New York,Rochester,2017-04-20,Operations,Logistics Coordinator,Bachelor,58006,Good,Yes,1995-12-14,2021-04-29
00-76468734,Patricia,Smith,Female,North Carolina,Raleigh,2019-12-14,Operations,Inventory Specialist,High School,54241,Good,No,1989-09-02,2020-06-11
00-72600566,Kyle,Brown,Female,North Carolina,Greensboro,2016-09-02,Operations,Logistics Coordinator,Bachelor,59312,Good,No,1996-10-13,2021-10-02
00-34272992,Debra,Smith,Female,North Carolina,Raleigh,2015-03-26,Operations,Logistics Coordinator,Bachelor,57615,Satisfactory,No,1997-06-24,2022-03-22
00-64443886,Wendy,Davis,Female,Ohio,Columbus,2020-07-06,Customer Service,Help Desk Technician,Bachelor,57040,Good,Yes,1987-03-05,2021-01-02
00-97974997,Sarah,Gonzalez,Female,North Carolina,Charlotte,2019-03-08,Sales,Sales Specialist,Bachelor,60266,Satisfactory,No,1985-09-20,2019-09-04
00-95194335,Mark,Sanchez,Female,North Carolina,Raleigh,2023-11-15,IT,IT Support Specialist,High School,60730,Excellent,No,1966-12-05,2024-05-13
00-66423093,Samuel,Cox,Male,North Carolina,Charlotte,2024-03-12,Operations,Logistics Coordinator,Bachelor,72193,Excellent,No,1986-07-15,2024-09-08
00-52067537,Amanda,Velasquez,Male,North Carolina,Charlotte,2017-01-17,Sales,Sales Specialist,Master,55462,Good,Yes,1980-12-14,2021-07-31
00-64977985,Claire,Carlson,Female,North Carolina,Greensboro,2024-02-22,Operations,Logistics Coordinator,Bachelor,59888,Satisfactory,Yes,1966-05-27,2024-08-20
00-60338785,Brian,Moore,Male,North Carolina,Charlotte,2022-03-14,Customer Service,Customer Service Manager,Master,76040,Excellent,No,1980-05-16,2022-09-10
00-83814875,Thomas,Ramirez,Male,Georgia,Atlanta,2023-02-12,Customer Service,Customer Service Representative,Bachelor,64774,Satisfactory,No,1976-12-07,2023-08-11
00-58682711,Karen,Oconnor,Female,North Carolina,Charlotte,2017-04-29,Finance,Financial Analyst,PhD,89274,Good,No,1992-01-17,2020-02-24
00-58810602,Samuel,Romero,Male,Texas,Dallas,2019-02-22,Operations,Operations Analyst,Bachelor,82789,Excellent,Yes,1981-01-30,2019-08-21
00-37865424,Wayne,Green,Male,North Carolina,Raleigh,2022-07-15,Marketing,Marketing Coordinator,Bachelor,69852,Good,No,1977-05-12,2023-01-11
00-18193742,Jennifer,Andrews,Female,North Carolina,Greensboro,2018-07-30,Finance,Accountant,Bachelor,68828,Satisfactory,No,1977-10-16,2019-01-26
00-62863067,Lisa,Davis,Female,Louisiana,Shreveport,2022-03-02,Marketing,Content Creator,Bachelor,55077,Good,No,2002-04-28,2022-08-29
